block,trial_num,left_stim,left_stim_number,right_stim,right_stim_number,object_onset,object_duration,response,response_onset,trial_RT,accuracy,isi_onset,isi_duration,scheduled_outcome,feedback,feedback_onset,feedback_duration,iti_onset,iti_duration
1,1,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\5.bmp,5,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\2.bmp,2,5.002,2.982,No_response,999.000,999.000,999,7.983,2.998,1,no_response,10.982,0.983,11.965,10.012
1,2,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\4.bmp,1,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\3.bmp,6,21.976,2.998,right,22.493,0.517,0,24.975,0.500,1,zero,25.474,0.983,26.457,5.014
1,3,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\6.bmp,3,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\1.bmp,4,31.471,2.998,left,31.871,0.400,1,34.470,2.998,0,zero,37.468,0.983,38.451,5.015
1,4,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\4.bmp,1,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\3.bmp,6,43.466,2.998,right,43.815,0.349,0,46.464,0.499,1,zero,46.963,0.983,47.946,6.014
1,5,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\1.bmp,4,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\6.bmp,3,53.960,2.998,left,54.443,0.483,0,56.958,0.500,1,zero,57.458,0.983,58.441,7.013
1,6,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\5.bmp,5,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\2.bmp,2,65.454,2.998,right,66.071,0.617,1,68.452,1.999,1,reward,70.451,0.983,71.434,6.013
1,7,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\3.bmp,6,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\4.bmp,1,77.448,2.998,left,77.781,0.333,0,80.446,3.998,1,zero,84.444,0.983,85.427,11.994
1,8,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\6.bmp,3,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\1.bmp,4,97.421,2.998,right,97.887,0.466,0,100.419,0.999,1,zero,101.418,0.983,102.401,5.014
1,9,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\5.bmp,5,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\2.bmp,2,107.416,2.998,left,107.849,0.433,0,110.414,0.999,0,reward,111.413,0.983,112.396,4.514
1,10,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\2.bmp,2,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\5.bmp,5,116.911,2.998,left,118.427,1.516,1,119.909,0.500,0,zero,120.409,0.983,121.392,7.013
