block,trial_num,left_stim,left_stim_number,right_stim,right_stim_number,object_onset,object_duration,response,response_onset,trial_RT,accuracy,isi_onset,isi_duration,scheduled_outcome,feedback,feedback_onset,feedback_duration,iti_onset,iti_duration
1,1,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\5.bmp,5,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\3.bmp,2,5.012,2.998,left,5.429,0.416,0,8.010,0.500,1,zero,8.510,0.983,9.493,8.013
1,2,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\1.bmp,1,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\4.bmp,6,17.506,2.998,left,17.958,0.452,1,20.504,8.063,1,reward,28.567,0.982,29.549,4.448
1,3,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\2.bmp,4,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\6.bmp,3,33.997,2.982,No_response,999.000,999.000,999,36.979,0.500,0,no_response,37.478,0.983,38.461,8.029
1,4,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\4.bmp,6,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\1.bmp,1,46.490,2.982,No_response,999.000,999.000,999,49.472,0.999,1,no_response,50.472,0.983,51.454,4.533
1,5,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\3.bmp,2,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\5.bmp,5,55.988,2.996,left,56.136,0.148,1,58.984,3.998,1,reward,62.982,0.983,63.965,5.014
1,6,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\6.bmp,3,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\2.bmp,4,68.979,3.048,left,70.312,1.333,1,72.027,3.998,1,reward,76.025,0.983,77.008,4.464
1,7,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\1.bmp,1,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\4.bmp,6,81.472,2.982,No_response,999.000,999.000,999,84.454,3.998,1,no_response,88.452,0.983,89.435,4.531
1,8,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\6.bmp,3,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\2.bmp,4,93.966,2.998,left,94.350,0.383,1,96.964,0.999,0,zero,97.964,0.983,98.947,4.514
1,9,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\5.bmp,5,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\3.bmp,2,103.461,2.998,left,103.662,0.200,0,106.459,0.500,0,reward,106.959,0.983,107.942,6.013
1,10,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\2.bmp,4,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\6.bmp,3,113.956,2.998,left,114.406,0.450,0,116.954,0.999,1,zero,117.953,0.983,118.937,9.994
1,11,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\3.bmp,2,C:\Users\Yanko\OneDrive - University of Wyoming\Desktop - Copy\Lab\Candy machine\0 Scripts\0 GIRRLS-master\Charles fixed M_M_dispenser_080520\Resources\5.bmp,5,128.931,2.998,left,128.981,0.037,1,131.930,4.981,1,reward,136.910,0.983,137.893,9.995
